"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11"
"140";0,526;46,672;5,657;22,224;0,339;1,748;12,853;0;1,954;1,556;6,469
"141";8,031;20,162;19,569;13,89;7,777;6,157;9,844;0;0,403;5,383;8,785
"142";0,026;90,21;1,554;2,383;0,019;0,305;3,947;0;0,442;0,38;0,734
"143";1,011;45,963;11,281;8,49;1,772;4,656;19,326;0;0,251;1,865;5,385
"144";0,92;18,362;15,602;30,211;0,817;11,414;10,923;0;0,914;3,678;7,159
"145";1,202;29,251;41,723;7,063;0,116;1,79;15,845;0;0,188;0,484;2,338
"146";0,898;30,276;15,608;19,783;1,928;1,415;21,056;0;0,522;5,537;2,977
"147";0,11;6,716;6,355;71,896;0,123;3,658;6,716;0;0,305;0,532;3,59
"148";0,151;80,804;2,133;8,978;1,644;1,269;2,244;0;0,661;0,801;1,315
"149";0,339;22,551;6,565;9,442;13,309;10,121;9,257;0;5,519;2,203;20,694
"150";0,188;16,58;2,463;4,358;0,075;59,719;11,457;0;0,351;1,605;3,204
"151";0,191;12,621;77,692;3,563;0,063;0,505;1,913;0;0,117;2,674;0,661
"152";1,27;20,277;19,01;11,173;0,179;1,132;23,992;0;0,632;16,671;5,663
"153";0,657;17,19;40,909;9,169;0,188;5,585;19,54;0;0,657;1,567;4,538
"154";0,594;64,113;3,024;16,617;0,382;1,793;7,7;0;0,551;3,201;2,025
"155";0,58;21,074;3,032;29,281;0,233;1,016;41,051;0;0,156;1,699;1,878
"156";0,083;35,604;2,373;11,175;0,181;17,105;11,523;0;0,907;1,234;19,815
"157";0,562;52,555;13,696;8,335;0,644;13,23;5,493;0;0,157;1,926;3,403
"158";0,075;18,747;26,138;11,243;0,233;0,268;38,679;0;0,465;0,667;3,485
"159";0,085;10,915;74,507;7,788;0,522;2,547;2,17;0;0,101;0,927;0,437
"160";0,072;45,923;4,836;33,605;0,642;1,654;6,355;0;0,208;2,9;3,805
"161";0,443;62,521;7,629;13,311;0,485;1,172;5,563;0;0,567;5,505;2,802
"162";0,486;16,486;3,916;30,836;1,486;7,494;18,695;0;0,709;6,856;13,037
"163";0,22;25,088;5,845;44,919;0;1,456;18,617;0;0,094;2,326;1,435
"164";0,568;32,677;4,836;13,591;0,626;0,813;37,75;0;0,202;1,393;7,544
"165";0,02;89,407;0,091;5,031;0,002;0,316;2,465;0;2,487;0,049;0,132
"166";0,334;27,349;21,475;5,153;5,073;3,088;31,389;0;1,232;0,842;4,064
"167";0,006;72,825;0,424;1,085;0,056;0,11;25,192;0;0,021;0,113;0,168
"168";0,19;10,862;3,668;70,155;0,202;2,047;7,296;0;0,504;2,997;2,079
"169";0,433;30,803;5,285;12,706;0,358;1,109;19,424;0;4,444;22,948;2,49
"170";1,913;36,218;13,494;9,105;0,507;1,758;34,586;0;0,671;1,179;0,569
"171";0,848;24,649;19,764;12,325;0,453;2,343;32,587;0;0,394;5,161;1,476
"172";0,209;14,851;11,024;10,247;3,201;4,245;46,382;0;0,623;1,29;7,928
"173";0,135;45,268;35,195;9,421;0;0,687;7,323;0;0,157;0,402;1,412
"174";3,327;40,43;6,988;4,807;0,559;3,701;37,477;0;0,189;1,498;1,025
"175";0,387;80,735;7,985;2,32;0,109;0,742;5,298;0;0,675;0,704;1,046
"176";0,487;26,145;8,669;39,351;0,271;1,236;15,3;0;1,052;5,827;1,662
"177";0,085;6,466;3,641;12,992;0,694;0,592;40,351;0;0,651;0,933;33,595
"178";0,139;11,922;18,167;17,035;2,285;2,335;44,005;0;0,14;2,491;1,481
"179";0,298;29,291;13,818;19,415;0,586;5,323;17,491;0;0,761;7,572;5,446
"180";0,117;16,739;18,459;17,24;1,272;27,162;13,442;0;0,336;3,23;2,003
"181";0,076;13,965;20,115;49,775;0,585;11,286;3,051;0;0,263;0,157;0,728
"182";0,075;9,9;1,871;74,882;0,273;0,816;4,667;0;0,07;3,054;4,391
"183";0,024;3,936;80,82;12,193;0,036;0,865;1,508;0;0,091;0,076;0,451
"184";0,586;39,001;8,419;24,563;0,924;6,227;12,179;0;0,385;2,023;5,692
"185";0,065;22,711;6,482;4,711;0,552;48,517;6,477;0;1,281;3,062;6,142
"186";0,593;24,142;6,061;12,676;0,34;41,088;8,916;0;0,552;1,768;3,863
"187";21,392;33,435;4,019;18,323;0,705;3,219;15,582;0;0,305;1,22;1,801
"188";1,309;30,391;20,504;12,959;1,79;1,081;9,03;0;1,127;6,616;15,194
"189";0,148;9,213;3,528;8,249;0,201;2,599;70,964;0;0,295;1,906;2,896
"190";0,075;62,81;6,609;19,441;0,171;2,09;7,748;0;0,157;0,318;0,581
"191";0,016;1,418;0,341;2,27;0,144;0,127;91,39;0;0,08;0,15;4,065
"192";0,353;52,39;10,599;10,407;0,125;0,448;9,486;0;0,312;2,059;13,821
"193";0,322;28,795;4,909;12,454;0,267;2,178;39,908;0;0,843;3,195;7,13
"194";0,359;24,202;20,971;22,923;2,899;3,513;19,901;0;1,016;2,986;1,229
"195";0,573;10,212;7,553;42,28;0,235;25,886;5,847;0;0,277;3,313;3,824
"196";2,481;15,828;6,547;20,843;0,115;33,771;8,504;0;4,788;5,511;1,612
"197";1,097;22,84;5,31;13,897;0,352;2,666;45,883;0;0,801;3,644;3,509
"198";0,213;2,205;84,502;7,251;0,222;0,383;3,602;0;0,148;0,215;1,258
