"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13"
"134";0,126;4,047;0,514;0,151;2,544;1,801;0,267;82,97;0;0,3;7,231;0;0,049
"135";1,324;2,014;2,046;0,251;1,674;7,332;1,664;57,814;0;0,27;23,862;0;1,748
"136";0,463;15,753;2,566;0,093;3,828;2,471;0,643;58,248;0;0,607;7,815;0;7,513
"137";0,115;2,291;1,02;0,351;1,518;1,616;0,436;80,399;0;0,427;8,802;0;3,024
"138";0,943;4,494;1,685;0,198;4,545;2,637;1,204;73,796;0;0,385;8,95;0;1,165
"139";0,234;5,039;2,13;5,854;4,73;9,568;4,686;40,469;0;0,904;22,799;0;3,586
"140";0,492;1,065;2,875;0,15;6,264;15,56;1,405;55,552;0;2,622;11,383;0;2,632
"141";0,176;3,984;1,14;0,768;3,202;52,866;6,684;20,67;0;0,216;10,168;0;0,127
"142";0,298;4,332;0,766;0,634;3,721;14,5;0,897;66,267;0;0,473;6,386;0;1,725
"143";0,113;6,147;1,107;2,03;1,58;2,162;5,479;71,459;0;0,674;8,684;0;0,565
"144";0,053;10,048;2,038;0,103;12,824;0,827;0,905;66,556;0;0,195;2,383;0;4,068
"145";0,301;3,237;2,062;0,861;3,96;23,408;12,046;32,85;0;10,933;6,355;0;3,987
"146";0,288;2,045;0,492;0,143;1,189;9,539;0,267;80,97;0;0,921;2,899;0;1,248
"147";0,472;61,58;4,001;0,498;2,084;1,887;0,281;16,659;0;3,125;1,722;0;7,691
"148";0,22;7,763;1,669;0,376;1,628;1,166;0,67;74,026;0;0,286;2,759;0;9,438
"149";5,448;2,809;0,824;10,855;2,462;4,394;0,221;63,684;0;2,678;3,942;0;2,683
"150";0,58;2,139;0,44;0,374;16,676;2,228;0,6;66,368;0;0,629;9,161;0;0,806
"151";9,414;9,133;1,891;1,471;1,296;5,526;19,593;46,4;0;0,568;4,513;0;0,195
"152";0,311;8,566;0,705;0,16;0,757;1,141;0,739;26,861;0;0,198;60,046;0;0,516
"153";0,707;2,615;1,683;0,128;2,042;4,68;1,114;76,906;0;2,173;6,804;0;1,148
"154";0,331;3,786;1,584;1,557;2,035;13,066;2,653;48,802;0;1,275;22,914;0;1,998
"155";0,684;1,055;2,308;2,297;4,356;10,829;3,967;50,975;0;1,63;9,494;0;12,405
"156";0,078;0,946;0,646;0,103;1,198;1,866;0,38;92,009;0;0,06;2,624;0;0,09
"157";0,418;5,964;1,043;0,658;7,538;9,426;1,206;69,561;0;0,404;3,42;0;0,361
"158";0,122;0,698;0,179;0,189;6,43;1,208;0,046;88,605;0;0,143;2,128;0;0,251
"159";0,218;2,067;0,455;1,371;13,022;61,615;1,049;16,484;0;0,544;2,86;0;0,314
"160";0,791;23,748;2,53;4,824;3,252;3,34;1,27;43,588;0;0,834;15,59;0;0,233
"161";0,031;0,701;0,208;0,029;11,121;0,85;0,12;86,404;0;0,051;0,418;0;0,067
"162";0,143;0,943;0,479;0,321;2,4;43,141;0,952;47,335;0;0,188;3,1;0;0,999
"163";2,05;1,366;3,384;0,701;1,974;12,47;0,285;66,92;0;1,464;7,137;0;2,249
"164";1,304;45,156;2,075;1,158;2,937;5,775;1,274;35,161;0;0,362;4,798;0;0
"165";0,363;3,301;0,394;1,476;1,94;0,924;1,125;82,279;0;0,208;6,898;0;1,091
"166";0,271;2,573;5,378;0,135;5,251;4,618;0,652;77,727;0;0,242;2,3;0;0,854
"167";0,249;2,897;4,763;0,175;32,974;3,304;0,586;48,522;0;0,374;5,195;0;0,96
"168";0,539;2,317;3,208;0,297;4,274;32,116;0,64;48,726;0;0,614;5,588;0;1,682
"169";0,072;0,93;0,56;0,307;2,486;1,267;1,601;90,618;0;0,156;1,818;0;0,187
"170";0,298;5,574;19,117;11,52;2,168;2,372;4,116;46,023;0;2,528;2,962;0;3,322
"171";0,846;2,005;10,036;0,454;3,493;3,567;1,166;59,467;0;2,597;12,678;0;3,692
"172";0,076;1,168;1,439;2,411;4,637;4,905;1,175;72,272;0;0,415;6,313;0;5,189
"173";0,491;1,108;3,601;0,887;1,617;4,139;0,632;83,738;0;0,28;2,972;0;0,535
"174";0,426;1,571;3,024;0,146;2,803;2,115;2,215;78,765;0;0,364;7,85;0;0,719
